Test Epoch: 41, Accuracy: 64.680, Precision: 65.100, Recall: 64.680, F1: 64.051, L_1: 22850, U_1: 27150, L_2: 22661, U_2: 27339
Test Epoch: 42, Accuracy: 65.220, Precision: 65.319, Recall: 65.220, F1: 64.499, L_1: 22522, U_1: 27478, L_2: 22759, U_2: 27241
Test Epoch: 43, Accuracy: 65.210, Precision: 65.636, Recall: 65.210, F1: 64.552, L_1: 22601, U_1: 27399, L_2: 22432, U_2: 27568
Test Epoch: 44, Accuracy: 65.310, Precision: 66.069, Recall: 65.310, F1: 64.842, L_1: 22404, U_1: 27596, L_2: 22389, U_2: 27611
Test Epoch: 45, Accuracy: 65.610, Precision: 66.164, Recall: 65.610, F1: 65.139, L_1: 22393, U_1: 27607, L_2: 22292, U_2: 27708
Test Epoch: 46, Accuracy: 65.640, Precision: 66.076, Recall: 65.640, F1: 65.108, L_1: 22328, U_1: 27672, L_2: 22368, U_2: 27632
Test Epoch: 47, Accuracy: 66.220, Precision: 66.441, Recall: 66.220, F1: 65.748, L_1: 22475, U_1: 27525, L_2: 22270, U_2: 27730
Test Epoch: 48, Accuracy: 66.640, Precision: 66.698, Recall: 66.640, F1: 65.915, L_1: 22384, U_1: 27616, L_2: 22208, U_2: 27792
Test Epoch: 49, Accuracy: 66.910, Precision: 67.437, Recall: 66.910, F1: 66.544, L_1: 22307, U_1: 27693, L_2: 22035, U_2: 27965
Test Epoch: 50, Accuracy: 66.000, Precision: 66.933, Recall: 66.000, F1: 65.515, L_1: 21911, U_1: 28089, L_2: 22020, U_2: 27980
Test Epoch: 51, Accuracy: 66.850, Precision: 67.016, Recall: 66.850, F1: 66.238, L_1: 21689, U_1: 28311, L_2: 22210, U_2: 27790
Test Epoch: 52, Accuracy: 67.020, Precision: 67.047, Recall: 67.020, F1: 66.504, L_1: 22009, U_1: 27991, L_2: 21911, U_2: 28089
Test Epoch: 53, Accuracy: 67.120, Precision: 67.431, Recall: 67.120, F1: 66.416, L_1: 21794, U_1: 28206, L_2: 21944, U_2: 28056
Test Epoch: 54, Accuracy: 67.140, Precision: 67.382, Recall: 67.140, F1: 66.480, L_1: 21931, U_1: 28069, L_2: 21786, U_2: 28214
Test Epoch: 55, Accuracy: 67.780, Precision: 67.771, Recall: 67.780, F1: 67.129, L_1: 21906, U_1: 28094, L_2: 21806, U_2: 28194
Test Epoch: 56, Accuracy: 67.750, Precision: 68.043, Recall: 67.750, F1: 67.228, L_1: 21831, U_1: 28169, L_2: 21856, U_2: 28144
Test Epoch: 57, Accuracy: 67.550, Precision: 68.041, Recall: 67.550, F1: 67.049, L_1: 21804, U_1: 28196, L_2: 21825, U_2: 28175
Test Epoch: 58, Accuracy: 67.270, Precision: 67.874, Recall: 67.270, F1: 66.678, L_1: 21829, U_1: 28171, L_2: 21729, U_2: 28271
Test Epoch: 59, Accuracy: 67.440, Precision: 68.380, Recall: 67.440, F1: 67.041, L_1: 21584, U_1: 28416, L_2: 21638, U_2: 28362
Test Epoch: 60, Accuracy: 68.030, Precision: 67.942, Recall: 68.030, F1: 67.272, L_1: 21535, U_1: 28465, L_2: 21811, U_2: 28189
Test Epoch: 61, Accuracy: 67.710, Precision: 68.168, Recall: 67.710, F1: 67.037, L_1: 21639, U_1: 28361, L_2: 21793, U_2: 28207
Test Epoch: 62, Accuracy: 67.590, Precision: 68.419, Recall: 67.590, F1: 67.033, L_1: 21625, U_1: 28375, L_2: 21639, U_2: 28361
Test Epoch: 63, Accuracy: 67.420, Precision: 67.790, Recall: 67.420, F1: 66.810, L_1: 21597, U_1: 28403, L_2: 21591, U_2: 28409
Test Epoch: 64, Accuracy: 67.840, Precision: 68.364, Recall: 67.840, F1: 67.285, L_1: 21396, U_1: 28604, L_2: 21625, U_2: 28375
Test Epoch: 65, Accuracy: 68.390, Precision: 68.768, Recall: 68.390, F1: 67.912, L_1: 21541, U_1: 28459, L_2: 21604, U_2: 28396
Test Epoch: 66, Accuracy: 68.400, Precision: 68.796, Recall: 68.400, F1: 67.987, L_1: 21661, U_1: 28339, L_2: 21654, U_2: 28346
Test Epoch: 67, Accuracy: 67.740, Precision: 68.662, Recall: 67.740, F1: 67.324, L_1: 21601, U_1: 28399, L_2: 21424, U_2: 28576
Test Epoch: 68, Accuracy: 67.960, Precision: 68.540, Recall: 67.960, F1: 67.449, L_1: 21531, U_1: 28469, L_2: 21494, U_2: 28506
Test Epoch: 69, Accuracy: 68.720, Precision: 69.278, Recall: 68.720, F1: 68.319, L_1: 21450, U_1: 28550, L_2: 21420, U_2: 28580
Test Epoch: 70, Accuracy: 68.510, Precision: 68.882, Recall: 68.510, F1: 68.028, L_1: 21405, U_1: 28595, L_2: 21464, U_2: 28536
Test Epoch: 71, Accuracy: 68.580, Precision: 68.897, Recall: 68.580, F1: 68.061, L_1: 21394, U_1: 28606, L_2: 21345, U_2: 28655
Test Epoch: 72, Accuracy: 68.960, Precision: 69.212, Recall: 68.960, F1: 68.574, L_1: 21558, U_1: 28442, L_2: 21248, U_2: 28752
Test Epoch: 73, Accuracy: 68.660, Precision: 68.957, Recall: 68.660, F1: 68.216, L_1: 21470, U_1: 28530, L_2: 21512, U_2: 28488
Test Epoch: 74, Accuracy: 69.380, Precision: 69.621, Recall: 69.380, F1: 68.925, L_1: 21263, U_1: 28737, L_2: 21438, U_2: 28562
Test Epoch: 75, Accuracy: 69.140, Precision: 69.300, Recall: 69.140, F1: 68.631, L_1: 21462, U_1: 28538, L_2: 21534, U_2: 28466
Test Epoch: 76, Accuracy: 68.830, Precision: 69.236, Recall: 68.830, F1: 68.398, L_1: 21360, U_1: 28640, L_2: 21618, U_2: 28382
Test Epoch: 77, Accuracy: 69.290, Precision: 69.678, Recall: 69.290, F1: 68.839, L_1: 21478, U_1: 28522, L_2: 21456, U_2: 28544
Test Epoch: 78, Accuracy: 69.150, Precision: 69.503, Recall: 69.150, F1: 68.625, L_1: 21340, U_1: 28660, L_2: 21449, U_2: 28551
Test Epoch: 79, Accuracy: 68.990, Precision: 69.699, Recall: 68.990, F1: 68.583, L_1: 21492, U_1: 28508, L_2: 21522, U_2: 28478
Test Epoch: 80, Accuracy: 69.350, Precision: 69.660, Recall: 69.350, F1: 68.945, L_1: 21402, U_1: 28598, L_2: 21473, U_2: 28527
Test Epoch: 81, Accuracy: 69.020, Precision: 69.752, Recall: 69.020, F1: 68.593, L_1: 21441, U_1: 28559, L_2: 21302, U_2: 28698
Test Epoch: 82, Accuracy: 69.500, Precision: 70.026, Recall: 69.500, F1: 69.148, L_1: 21386, U_1: 28614, L_2: 21412, U_2: 28588
Test Epoch: 83, Accuracy: 69.710, Precision: 70.106, Recall: 69.710, F1: 69.252, L_1: 21291, U_1: 28709, L_2: 21555, U_2: 28445
Test Epoch: 84, Accuracy: 70.050, Precision: 70.072, Recall: 70.050, F1: 69.557, L_1: 21434, U_1: 28566, L_2: 21409, U_2: 28591
Test Epoch: 85, Accuracy: 69.060, Precision: 69.314, Recall: 69.060, F1: 68.538, L_1: 21327, U_1: 28673, L_2: 21314, U_2: 28686
