Test Epoch: 0, Accuracy: 6.530, Precision: 6.826, Recall: 6.530, F1: 3.492, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 1, Accuracy: 8.230, Precision: 7.160, Recall: 8.230, F1: 4.491, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 2, Accuracy: 10.150, Precision: 8.094, Recall: 10.150, F1: 6.161, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 3, Accuracy: 11.290, Precision: 10.397, Recall: 11.290, F1: 7.649, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 4, Accuracy: 11.950, Precision: 11.755, Recall: 11.950, F1: 8.174, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 5, Accuracy: 14.050, Precision: 12.826, Recall: 14.050, F1: 10.171, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 6, Accuracy: 14.250, Precision: 14.537, Recall: 14.250, F1: 10.680, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 7, Accuracy: 16.130, Precision: 14.335, Recall: 16.130, F1: 12.501, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 8, Accuracy: 16.250, Precision: 16.876, Recall: 16.250, F1: 12.972, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 9, Accuracy: 17.350, Precision: 17.168, Recall: 17.350, F1: 13.835, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 10, Accuracy: 19.290, Precision: 18.042, Recall: 19.290, F1: 15.426, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 11, Accuracy: 19.510, Precision: 19.112, Recall: 19.510, F1: 16.047, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 12, Accuracy: 20.210, Precision: 20.370, Recall: 20.210, F1: 16.548, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 13, Accuracy: 21.090, Precision: 20.634, Recall: 21.090, F1: 17.519, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 14, Accuracy: 22.140, Precision: 20.880, Recall: 22.140, F1: 18.645, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 15, Accuracy: 22.910, Precision: 21.391, Recall: 22.910, F1: 19.790, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 16, Accuracy: 23.850, Precision: 24.080, Recall: 23.850, F1: 20.834, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 17, Accuracy: 23.880, Precision: 24.361, Recall: 23.880, F1: 20.774, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 18, Accuracy: 24.870, Precision: 25.705, Recall: 24.870, F1: 21.665, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 19, Accuracy: 25.350, Precision: 25.702, Recall: 25.350, F1: 22.994, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 20, Accuracy: 25.780, Precision: 26.770, Recall: 25.780, F1: 23.281, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 21, Accuracy: 26.540, Precision: 28.068, Recall: 26.540, F1: 24.061, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 22, Accuracy: 26.760, Precision: 27.608, Recall: 26.760, F1: 24.743, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 23, Accuracy: 26.690, Precision: 27.675, Recall: 26.690, F1: 24.674, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 24, Accuracy: 27.740, Precision: 27.216, Recall: 27.740, F1: 25.404, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 25, Accuracy: 27.720, Precision: 28.710, Recall: 27.720, F1: 25.540, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 26, Accuracy: 28.130, Precision: 28.557, Recall: 28.130, F1: 26.648, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 27, Accuracy: 28.400, Precision: 29.461, Recall: 28.400, F1: 26.592, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 28, Accuracy: 27.050, Precision: 27.759, Recall: 27.050, F1: 25.412, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 29, Accuracy: 29.040, Precision: 29.733, Recall: 29.040, F1: 27.565, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 30, Accuracy: 32.350, Precision: 32.770, Recall: 32.350, F1: 28.841, L_1: 7671, U_1: 42329, L_2: 7876, U_2: 42124
Test Epoch: 31, Accuracy: 33.970, Precision: 31.828, Recall: 33.970, F1: 30.484, L_1: 7971, U_1: 42029, L_2: 7598, U_2: 42402
Test Epoch: 32, Accuracy: 34.790, Precision: 33.014, Recall: 34.790, F1: 31.696, L_1: 8899, U_1: 41101, L_2: 8824, U_2: 41176
