Test Epoch: 0, Accuracy: 20.810, Precision: 25.025, Recall: 20.810, F1: 18.320, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 1, Accuracy: 31.220, Precision: 33.832, Recall: 31.220, F1: 29.009, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 2, Accuracy: 36.720, Precision: 40.586, Recall: 36.720, F1: 34.529, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 3, Accuracy: 42.240, Precision: 48.281, Recall: 42.240, F1: 41.312, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 4, Accuracy: 48.000, Precision: 50.754, Recall: 48.000, F1: 46.977, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 5, Accuracy: 50.940, Precision: 53.872, Recall: 50.940, F1: 50.234, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 6, Accuracy: 53.150, Precision: 56.901, Recall: 53.150, F1: 53.097, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 7, Accuracy: 54.470, Precision: 58.902, Recall: 54.470, F1: 54.244, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 8, Accuracy: 56.480, Precision: 59.602, Recall: 56.480, F1: 56.235, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 9, Accuracy: 58.530, Precision: 60.752, Recall: 58.530, F1: 58.338, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 10, Accuracy: 60.520, Precision: 62.350, Recall: 60.520, F1: 60.368, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 11, Accuracy: 60.630, Precision: 62.987, Recall: 60.630, F1: 60.286, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 12, Accuracy: 61.350, Precision: 63.718, Recall: 61.350, F1: 60.636, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 13, Accuracy: 61.830, Precision: 65.104, Recall: 61.830, F1: 61.732, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 14, Accuracy: 63.410, Precision: 65.397, Recall: 63.410, F1: 63.465, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 15, Accuracy: 63.670, Precision: 65.745, Recall: 63.670, F1: 63.631, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 16, Accuracy: 64.910, Precision: 66.787, Recall: 64.910, F1: 64.871, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 17, Accuracy: 64.300, Precision: 66.112, Recall: 64.300, F1: 64.149, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 18, Accuracy: 64.650, Precision: 67.093, Recall: 64.650, F1: 64.697, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 19, Accuracy: 65.330, Precision: 67.425, Recall: 65.330, F1: 65.438, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 20, Accuracy: 64.790, Precision: 66.418, Recall: 64.790, F1: 64.623, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 21, Accuracy: 64.550, Precision: 66.443, Recall: 64.550, F1: 64.573, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 22, Accuracy: 64.930, Precision: 66.800, Recall: 64.930, F1: 65.014, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 23, Accuracy: 64.990, Precision: 67.714, Recall: 64.990, F1: 65.178, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 24, Accuracy: 65.690, Precision: 67.541, Recall: 65.690, F1: 65.608, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 25, Accuracy: 64.580, Precision: 67.103, Recall: 64.580, F1: 64.616, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 26, Accuracy: 63.960, Precision: 67.137, Recall: 63.960, F1: 64.165, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 27, Accuracy: 65.030, Precision: 66.809, Recall: 65.030, F1: 65.080, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 28, Accuracy: 64.110, Precision: 66.764, Recall: 64.110, F1: 64.348, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 29, Accuracy: 63.050, Precision: 66.054, Recall: 63.050, F1: 63.040, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 30, Accuracy: 68.050, Precision: 68.438, Recall: 68.050, F1: 67.626, L_1: 35119, U_1: 14881, L_2: 35397, U_2: 14603
Test Epoch: 31, Accuracy: 68.640, Precision: 68.947, Recall: 68.640, F1: 68.190, L_1: 36508, U_1: 13492, L_2: 36767, U_2: 13233
Test Epoch: 32, Accuracy: 68.970, Precision: 68.986, Recall: 68.970, F1: 68.505, L_1: 36414, U_1: 13586, L_2: 36619, U_2: 13381
Test Epoch: 33, Accuracy: 69.200, Precision: 69.326, Recall: 69.200, F1: 68.665, L_1: 36103, U_1: 13897, L_2: 36716, U_2: 13284
Test Epoch: 34, Accuracy: 69.170, Precision: 69.522, Recall: 69.170, F1: 68.770, L_1: 35801, U_1: 14199, L_2: 35523, U_2: 14477
Test Epoch: 35, Accuracy: 69.370, Precision: 69.665, Recall: 69.370, F1: 68.903, L_1: 35559, U_1: 14441, L_2: 35622, U_2: 14378
Test Epoch: 36, Accuracy: 69.250, Precision: 69.761, Recall: 69.250, F1: 68.885, L_1: 35207, U_1: 14793, L_2: 35092, U_2: 14908
Test Epoch: 37, Accuracy: 70.070, Precision: 70.252, Recall: 70.070, F1: 69.514, L_1: 34823, U_1: 15177, L_2: 35045, U_2: 14955
Test Epoch: 38, Accuracy: 69.530, Precision: 69.977, Recall: 69.530, F1: 69.175, L_1: 34649, U_1: 15351, L_2: 34199, U_2: 15801
Test Epoch: 39, Accuracy: 70.190, Precision: 70.282, Recall: 70.190, F1: 69.727, L_1: 34334, U_1: 15666, L_2: 34384, U_2: 15616
Test Epoch: 40, Accuracy: 69.730, Precision: 69.949, Recall: 69.730, F1: 69.181, L_1: 34435, U_1: 15565, L_2: 34557, U_2: 15443
Test Epoch: 41, Accuracy: 70.040, Precision: 70.002, Recall: 70.040, F1: 69.554, L_1: 34080, U_1: 15920, L_2: 34250, U_2: 15750
Test Epoch: 42, Accuracy: 69.920, Precision: 70.161, Recall: 69.920, F1: 69.363, L_1: 33979, U_1: 16021, L_2: 33954, U_2: 16046
Test Epoch: 43, Accuracy: 70.290, Precision: 70.508, Recall: 70.290, F1: 69.780, L_1: 33673, U_1: 16327, L_2: 33656, U_2: 16344
Test Epoch: 44, Accuracy: 70.230, Precision: 70.255, Recall: 70.230, F1: 69.670, L_1: 33436, U_1: 16564, L_2: 33136, U_2: 16864
Test Epoch: 45, Accuracy: 70.450, Precision: 70.708, Recall: 70.450, F1: 70.050, L_1: 33719, U_1: 16281, L_2: 33830, U_2: 16170
Test Epoch: 46, Accuracy: 70.400, Precision: 70.609, Recall: 70.400, F1: 69.912, L_1: 33615, U_1: 16385, L_2: 33243, U_2: 16757
Test Epoch: 47, Accuracy: 70.310, Precision: 70.484, Recall: 70.310, F1: 69.754, L_1: 33319, U_1: 16681, L_2: 32991, U_2: 17009
Test Epoch: 48, Accuracy: 70.420, Precision: 70.488, Recall: 70.420, F1: 69.892, L_1: 32749, U_1: 17251, L_2: 32980, U_2: 17020
Test Epoch: 49, Accuracy: 69.820, Precision: 69.919, Recall: 69.820, F1: 69.245, L_1: 33011, U_1: 16989, L_2: 32734, U_2: 17266
Test Epoch: 50, Accuracy: 70.200, Precision: 70.269, Recall: 70.200, F1: 69.699, L_1: 32712, U_1: 17288, L_2: 32760, U_2: 17240
Test Epoch: 51, Accuracy: 70.260, Precision: 70.353, Recall: 70.260, F1: 69.719, L_1: 32633, U_1: 17367, L_2: 32729, U_2: 17271
Test Epoch: 52, Accuracy: 70.790, Precision: 70.764, Recall: 70.790, F1: 70.347, L_1: 32893, U_1: 17107, L_2: 32768, U_2: 17232
Test Epoch: 53, Accuracy: 69.670, Precision: 70.158, Recall: 69.670, F1: 69.135, L_1: 32647, U_1: 17353, L_2: 32809, U_2: 17191
Test Epoch: 54, Accuracy: 70.680, Precision: 70.672, Recall: 70.680, F1: 70.113, L_1: 32690, U_1: 17310, L_2: 32319, U_2: 17681
Test Epoch: 55, Accuracy: 70.370, Precision: 70.717, Recall: 70.370, F1: 69.880, L_1: 32402, U_1: 17598, L_2: 32523, U_2: 17477
Test Epoch: 56, Accuracy: 70.900, Precision: 70.934, Recall: 70.900, F1: 70.426, L_1: 32864, U_1: 17136, L_2: 32397, U_2: 17603
Test Epoch: 57, Accuracy: 70.550, Precision: 70.821, Recall: 70.550, F1: 70.074, L_1: 32509, U_1: 17491, L_2: 32614, U_2: 17386
Test Epoch: 58, Accuracy: 70.350, Precision: 70.397, Recall: 70.350, F1: 69.874, L_1: 32883, U_1: 17117, L_2: 32483, U_2: 17517
Test Epoch: 59, Accuracy: 71.030, Precision: 71.279, Recall: 71.030, F1: 70.620, L_1: 32490, U_1: 17510, L_2: 32446, U_2: 17554
Test Epoch: 60, Accuracy: 71.060, Precision: 71.420, Recall: 71.060, F1: 70.653, L_1: 32531, U_1: 17469, L_2: 32622, U_2: 17378
Test Epoch: 61, Accuracy: 70.550, Precision: 70.805, Recall: 70.550, F1: 70.039, L_1: 32366, U_1: 17634, L_2: 32606, U_2: 17394
Test Epoch: 62, Accuracy: 70.630, Precision: 71.031, Recall: 70.630, F1: 70.229, L_1: 32785, U_1: 17215, L_2: 32377, U_2: 17623
Test Epoch: 63, Accuracy: 70.410, Precision: 70.579, Recall: 70.410, F1: 69.865, L_1: 32491, U_1: 17509, L_2: 32247, U_2: 17753
Test Epoch: 64, Accuracy: 70.560, Precision: 70.792, Recall: 70.560, F1: 70.076, L_1: 32477, U_1: 17523, L_2: 32263, U_2: 17737
Test Epoch: 65, Accuracy: 70.590, Precision: 70.981, Recall: 70.590, F1: 70.091, L_1: 32452, U_1: 17548, L_2: 32068, U_2: 17932
Test Epoch: 66, Accuracy: 70.480, Precision: 70.568, Recall: 70.480, F1: 69.917, L_1: 32205, U_1: 17795, L_2: 32309, U_2: 17691
Test Epoch: 67, Accuracy: 70.630, Precision: 70.800, Recall: 70.630, F1: 70.051, L_1: 32178, U_1: 17822, L_2: 32121, U_2: 17879
Test Epoch: 68, Accuracy: 71.260, Precision: 71.716, Recall: 71.260, F1: 70.908, L_1: 32925, U_1: 17075, L_2: 32053, U_2: 17947
Test Epoch: 69, Accuracy: 70.190, Precision: 70.786, Recall: 70.190, F1: 69.663, L_1: 32364, U_1: 17636, L_2: 32386, U_2: 17614
Test Epoch: 70, Accuracy: 70.990, Precision: 71.368, Recall: 70.990, F1: 70.448, L_1: 31905, U_1: 18095, L_2: 32451, U_2: 17549
Test Epoch: 71, Accuracy: 70.780, Precision: 70.863, Recall: 70.780, F1: 70.210, L_1: 32420, U_1: 17580, L_2: 32145, U_2: 17855
Test Epoch: 72, Accuracy: 70.590, Precision: 70.946, Recall: 70.590, F1: 69.925, L_1: 32148, U_1: 17852, L_2: 32286, U_2: 17714
Test Epoch: 73, Accuracy: 70.690, Precision: 70.987, Recall: 70.690, F1: 70.199, L_1: 32118, U_1: 17882, L_2: 31882, U_2: 18118
Test Epoch: 74, Accuracy: 71.080, Precision: 71.286, Recall: 71.080, F1: 70.600, L_1: 31979, U_1: 18021, L_2: 32419, U_2: 17581
Test Epoch: 75, Accuracy: 71.440, Precision: 71.523, Recall: 71.440, F1: 70.883, L_1: 32368, U_1: 17632, L_2: 32417, U_2: 17583
Test Epoch: 76, Accuracy: 71.030, Precision: 71.557, Recall: 71.030, F1: 70.598, L_1: 32296, U_1: 17704, L_2: 32622, U_2: 17378
Test Epoch: 77, Accuracy: 71.170, Precision: 71.192, Recall: 71.170, F1: 70.556, L_1: 32113, U_1: 17887, L_2: 31937, U_2: 18063
Test Epoch: 78, Accuracy: 71.310, Precision: 71.786, Recall: 71.310, F1: 70.932, L_1: 32042, U_1: 17958, L_2: 32497, U_2: 17503
Test Epoch: 79, Accuracy: 71.430, Precision: 71.639, Recall: 71.430, F1: 70.931, L_1: 32141, U_1: 17859, L_2: 32029, U_2: 17971
Test Epoch: 80, Accuracy: 70.610, Precision: 71.416, Recall: 70.610, F1: 70.010, L_1: 32319, U_1: 17681, L_2: 32199, U_2: 17801
Test Epoch: 81, Accuracy: 71.200, Precision: 71.436, Recall: 71.200, F1: 70.597, L_1: 32052, U_1: 17948, L_2: 32173, U_2: 17827
Test Epoch: 82, Accuracy: 71.700, Precision: 71.950, Recall: 71.700, F1: 71.199, L_1: 32221, U_1: 17779, L_2: 31932, U_2: 18068
Test Epoch: 83, Accuracy: 71.370, Precision: 71.605, Recall: 71.370, F1: 70.825, L_1: 32122, U_1: 17878, L_2: 32084, U_2: 17916
Test Epoch: 84, Accuracy: 71.790, Precision: 71.936, Recall: 71.790, F1: 71.287, L_1: 32246, U_1: 17754, L_2: 31764, U_2: 18236
Test Epoch: 85, Accuracy: 71.440, Precision: 71.685, Recall: 71.440, F1: 70.983, L_1: 32082, U_1: 17918, L_2: 32364, U_2: 17636
Test Epoch: 86, Accuracy: 71.550, Precision: 71.738, Recall: 71.550, F1: 70.959, L_1: 32121, U_1: 17879, L_2: 31931, U_2: 18069
Test Epoch: 87, Accuracy: 71.620, Precision: 71.612, Recall: 71.620, F1: 71.098, L_1: 31976, U_1: 18024, L_2: 32096, U_2: 17904
Test Epoch: 88, Accuracy: 71.780, Precision: 72.140, Recall: 71.780, F1: 71.385, L_1: 32203, U_1: 17797, L_2: 32147, U_2: 17853
Test Epoch: 89, Accuracy: 72.120, Precision: 72.324, Recall: 72.120, F1: 71.528, L_1: 32037, U_1: 17963, L_2: 32034, U_2: 17966
Test Epoch: 90, Accuracy: 71.790, Precision: 71.739, Recall: 71.790, F1: 71.150, L_1: 32178, U_1: 17822, L_2: 32183, U_2: 17817
Test Epoch: 91, Accuracy: 72.100, Precision: 72.591, Recall: 72.100, F1: 71.663, L_1: 32192, U_1: 17808, L_2: 31821, U_2: 18179
Test Epoch: 92, Accuracy: 71.850, Precision: 72.217, Recall: 71.850, F1: 71.450, L_1: 32014, U_1: 17986, L_2: 32045, U_2: 17955
Test Epoch: 93, Accuracy: 71.700, Precision: 72.121, Recall: 71.700, F1: 71.234, L_1: 32151, U_1: 17849, L_2: 32091, U_2: 17909
Test Epoch: 94, Accuracy: 72.050, Precision: 72.082, Recall: 72.050, F1: 71.472, L_1: 32379, U_1: 17621, L_2: 32085, U_2: 17915
