Test Epoch: 0, Accuracy: 35.600, Precision: 36.958, Recall: 35.600, F1: 32.140, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 1, Accuracy: 36.390, Precision: 42.133, Recall: 36.390, F1: 32.785, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 2, Accuracy: 43.400, Precision: 46.276, Recall: 43.400, F1: 41.209, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 3, Accuracy: 43.430, Precision: 45.494, Recall: 43.430, F1: 40.788, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 4, Accuracy: 46.630, Precision: 46.729, Recall: 46.630, F1: 43.741, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 5, Accuracy: 47.530, Precision: 47.367, Recall: 47.530, F1: 44.726, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 6, Accuracy: 51.480, Precision: 52.131, Recall: 51.480, F1: 50.148, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 7, Accuracy: 51.860, Precision: 52.572, Recall: 51.860, F1: 50.653, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 8, Accuracy: 49.400, Precision: 50.793, Recall: 49.400, F1: 46.329, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 9, Accuracy: 53.730, Precision: 56.382, Recall: 53.730, F1: 53.497, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 10, Accuracy: 52.040, Precision: 47.706, Recall: 52.040, F1: 47.156, L_1: 13979, U_1: 36021, L_2: 10870, U_2: 39130
Test Epoch: 11, Accuracy: 55.300, Precision: 57.456, Recall: 55.300, F1: 51.350, L_1: 14685, U_1: 35315, L_2: 14383, U_2: 35617
Test Epoch: 12, Accuracy: 56.200, Precision: 61.684, Recall: 56.200, F1: 52.150, L_1: 16094, U_1: 33906, L_2: 17011, U_2: 32989
Test Epoch: 13, Accuracy: 58.240, Precision: 60.483, Recall: 58.240, F1: 54.371, L_1: 17503, U_1: 32497, L_2: 17099, U_2: 32901
Test Epoch: 14, Accuracy: 59.900, Precision: 62.855, Recall: 59.900, F1: 57.056, L_1: 17002, U_1: 32998, L_2: 16944, U_2: 33056
Test Epoch: 15, Accuracy: 63.020, Precision: 65.158, Recall: 63.020, F1: 60.375, L_1: 17443, U_1: 32557, L_2: 17482, U_2: 32518
Test Epoch: 16, Accuracy: 63.570, Precision: 65.427, Recall: 63.570, F1: 61.807, L_1: 17674, U_1: 32326, L_2: 17230, U_2: 32770
Test Epoch: 17, Accuracy: 65.430, Precision: 67.574, Recall: 65.430, F1: 64.251, L_1: 17653, U_1: 32347, L_2: 17294, U_2: 32706
Test Epoch: 18, Accuracy: 66.330, Precision: 68.776, Recall: 66.330, F1: 64.984, L_1: 17145, U_1: 32855, L_2: 16583, U_2: 33417
Test Epoch: 19, Accuracy: 67.330, Precision: 67.993, Recall: 67.330, F1: 66.728, L_1: 16331, U_1: 33669, L_2: 16690, U_2: 33310
Test Epoch: 20, Accuracy: 65.660, Precision: 67.993, Recall: 65.660, F1: 65.407, L_1: 16770, U_1: 33230, L_2: 17007, U_2: 32993
Test Epoch: 21, Accuracy: 68.180, Precision: 69.809, Recall: 68.180, F1: 67.825, L_1: 16987, U_1: 33013, L_2: 18551, U_2: 31449
Test Epoch: 22, Accuracy: 69.920, Precision: 71.167, Recall: 69.920, F1: 69.912, L_1: 16605, U_1: 33395, L_2: 16551, U_2: 33449
Test Epoch: 23, Accuracy: 71.240, Precision: 72.042, Recall: 71.240, F1: 71.223, L_1: 16532, U_1: 33468, L_2: 16213, U_2: 33787
Test Epoch: 24, Accuracy: 72.540, Precision: 72.965, Recall: 72.540, F1: 72.114, L_1: 16473, U_1: 33527, L_2: 16680, U_2: 33320
Test Epoch: 25, Accuracy: 73.220, Precision: 74.432, Recall: 73.220, F1: 73.080, L_1: 16648, U_1: 33352, L_2: 16212, U_2: 33788
Test Epoch: 26, Accuracy: 74.330, Precision: 75.290, Recall: 74.330, F1: 74.129, L_1: 16822, U_1: 33178, L_2: 16380, U_2: 33620
Test Epoch: 27, Accuracy: 75.780, Precision: 76.006, Recall: 75.780, F1: 75.497, L_1: 16169, U_1: 33831, L_2: 16526, U_2: 33474
