Test Epoch: 0, Accuracy: 14.490, Precision: 14.593, Recall: 14.490, F1: 10.197, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 1, Accuracy: 18.760, Precision: 19.988, Recall: 18.760, F1: 15.099, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 2, Accuracy: 24.650, Precision: 25.480, Recall: 24.650, F1: 21.530, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 3, Accuracy: 29.550, Precision: 30.923, Recall: 29.550, F1: 26.572, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 4, Accuracy: 32.140, Precision: 33.755, Recall: 32.140, F1: 29.446, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 5, Accuracy: 35.310, Precision: 38.028, Recall: 35.310, F1: 32.915, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 6, Accuracy: 39.420, Precision: 41.295, Recall: 39.420, F1: 37.219, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 7, Accuracy: 40.950, Precision: 45.443, Recall: 40.950, F1: 39.694, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 8, Accuracy: 42.980, Precision: 46.921, Recall: 42.980, F1: 41.955, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 9, Accuracy: 45.000, Precision: 47.356, Recall: 45.000, F1: 43.916, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 10, Accuracy: 46.710, Precision: 48.829, Recall: 46.710, F1: 45.735, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 11, Accuracy: 48.410, Precision: 51.208, Recall: 48.410, F1: 47.396, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 12, Accuracy: 48.700, Precision: 50.268, Recall: 48.700, F1: 47.242, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 13, Accuracy: 50.660, Precision: 52.507, Recall: 50.660, F1: 49.834, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
