Test Epoch: 0, Accuracy: 6.850, Precision: 3.810, Recall: 6.850, F1: 3.273, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 1, Accuracy: 8.570, Precision: 5.866, Recall: 8.570, F1: 4.900, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 2, Accuracy: 10.250, Precision: 8.746, Recall: 10.250, F1: 6.211, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 3, Accuracy: 12.040, Precision: 10.355, Recall: 12.040, F1: 7.924, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 4, Accuracy: 12.950, Precision: 12.354, Recall: 12.950, F1: 9.332, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 5, Accuracy: 13.700, Precision: 14.468, Recall: 13.700, F1: 9.946, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 6, Accuracy: 14.890, Precision: 14.424, Recall: 14.890, F1: 11.312, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 7, Accuracy: 17.000, Precision: 16.649, Recall: 17.000, F1: 13.355, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 8, Accuracy: 17.720, Precision: 18.901, Recall: 17.720, F1: 14.402, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 9, Accuracy: 18.060, Precision: 17.087, Recall: 18.060, F1: 14.649, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 10, Accuracy: 19.020, Precision: 17.316, Recall: 19.020, F1: 14.890, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 11, Accuracy: 20.120, Precision: 19.065, Recall: 20.120, F1: 16.551, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 12, Accuracy: 19.620, Precision: 18.880, Recall: 19.620, F1: 15.879, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 13, Accuracy: 21.180, Precision: 20.567, Recall: 21.180, F1: 17.692, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 14, Accuracy: 22.370, Precision: 20.794, Recall: 22.370, F1: 18.797, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 15, Accuracy: 22.870, Precision: 22.226, Recall: 22.870, F1: 19.325, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 16, Accuracy: 23.190, Precision: 23.677, Recall: 23.190, F1: 20.342, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 17, Accuracy: 23.770, Precision: 23.616, Recall: 23.770, F1: 20.632, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 18, Accuracy: 24.540, Precision: 24.799, Recall: 24.540, F1: 21.620, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 19, Accuracy: 24.700, Precision: 25.007, Recall: 24.700, F1: 21.665, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 20, Accuracy: 25.820, Precision: 26.525, Recall: 25.820, F1: 23.274, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 21, Accuracy: 25.140, Precision: 26.038, Recall: 25.140, F1: 22.592, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 22, Accuracy: 26.960, Precision: 26.004, Recall: 26.960, F1: 24.130, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 23, Accuracy: 27.380, Precision: 28.524, Recall: 27.380, F1: 25.014, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 24, Accuracy: 28.540, Precision: 28.424, Recall: 28.540, F1: 26.000, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 25, Accuracy: 27.390, Precision: 28.218, Recall: 27.390, F1: 24.572, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 26, Accuracy: 28.780, Precision: 29.810, Recall: 28.780, F1: 26.517, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 27, Accuracy: 28.500, Precision: 27.901, Recall: 28.500, F1: 26.333, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 28, Accuracy: 28.240, Precision: 29.717, Recall: 28.240, F1: 26.947, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 29, Accuracy: 29.190, Precision: 29.582, Recall: 29.190, F1: 27.292, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 30, Accuracy: 31.600, Precision: 29.684, Recall: 31.600, F1: 26.682, L_1: 7542, U_1: 42458, L_2: 7203, U_2: 42797
Test Epoch: 31, Accuracy: 33.170, Precision: 32.246, Recall: 33.170, F1: 28.217, L_1: 7501, U_1: 42499, L_2: 7480, U_2: 42520
Test Epoch: 32, Accuracy: 34.410, Precision: 34.227, Recall: 34.410, F1: 29.823, L_1: 8534, U_1: 41466, L_2: 8100, U_2: 41900
Test Epoch: 33, Accuracy: 36.110, Precision: 38.105, Recall: 36.110, F1: 31.423, L_1: 8963, U_1: 41037, L_2: 8884, U_2: 41116
Test Epoch: 34, Accuracy: 37.700, Precision: 37.770, Recall: 37.700, F1: 33.368, L_1: 9184, U_1: 40816, L_2: 9250, U_2: 40750
Test Epoch: 35, Accuracy: 38.990, Precision: 38.415, Recall: 38.990, F1: 34.703, L_1: 9360, U_1: 40640, L_2: 9531, U_2: 40469
Test Epoch: 36, Accuracy: 40.530, Precision: 40.451, Recall: 40.530, F1: 36.374, L_1: 9519, U_1: 40481, L_2: 9594, U_2: 40406
Test Epoch: 37, Accuracy: 40.610, Precision: 42.239, Recall: 40.610, F1: 37.143, L_1: 9705, U_1: 40295, L_2: 9631, U_2: 40369
