Test Epoch: 0, Accuracy: 57.600, Precision: 58.462, Recall: 57.600, F1: 56.391, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 1, Accuracy: 65.120, Precision: 71.245, Recall: 65.120, F1: 64.231, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 2, Accuracy: 74.040, Precision: 75.561, Recall: 74.040, F1: 74.314, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 3, Accuracy: 77.360, Precision: 78.066, Recall: 77.360, F1: 76.958, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 4, Accuracy: 79.920, Precision: 80.488, Recall: 79.920, F1: 79.840, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 5, Accuracy: 79.920, Precision: 81.671, Recall: 79.920, F1: 79.962, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 6, Accuracy: 83.620, Precision: 84.151, Recall: 83.620, F1: 83.609, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 7, Accuracy: 84.860, Precision: 85.314, Recall: 84.860, F1: 84.819, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 8, Accuracy: 84.260, Precision: 85.572, Recall: 84.260, F1: 84.400, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 9, Accuracy: 84.640, Precision: 85.886, Recall: 84.640, F1: 84.902, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 10, Accuracy: 85.520, Precision: 85.468, Recall: 85.520, F1: 85.429, L_1: 35135, U_1: 14865, L_2: 34883, U_2: 15117
Test Epoch: 11, Accuracy: 84.360, Precision: 84.354, Recall: 84.360, F1: 84.158, L_1: 35054, U_1: 14946, L_2: 35513, U_2: 14487
Test Epoch: 12, Accuracy: 84.500, Precision: 84.549, Recall: 84.500, F1: 84.299, L_1: 34444, U_1: 15556, L_2: 34516, U_2: 15484
Test Epoch: 13, Accuracy: 84.690, Precision: 84.702, Recall: 84.690, F1: 84.407, L_1: 34438, U_1: 15562, L_2: 34504, U_2: 15496
Test Epoch: 14, Accuracy: 84.870, Precision: 84.982, Recall: 84.870, F1: 84.613, L_1: 34798, U_1: 15202, L_2: 34334, U_2: 15666
Test Epoch: 15, Accuracy: 86.140, Precision: 86.031, Recall: 86.140, F1: 86.025, L_1: 34739, U_1: 15261, L_2: 34890, U_2: 15110
Test Epoch: 16, Accuracy: 85.920, Precision: 85.866, Recall: 85.920, F1: 85.672, L_1: 35410, U_1: 14590, L_2: 35210, U_2: 14790
