Test Epoch: 0, Accuracy: 48.680, Precision: 48.279, Recall: 48.680, F1: 47.301, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 1, Accuracy: 52.730, Precision: 55.307, Recall: 52.730, F1: 51.261, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 2, Accuracy: 62.560, Precision: 62.895, Recall: 62.560, F1: 61.749, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 3, Accuracy: 64.390, Precision: 65.256, Recall: 64.390, F1: 63.586, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 4, Accuracy: 67.800, Precision: 70.843, Recall: 67.800, F1: 67.828, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 5, Accuracy: 71.940, Precision: 72.712, Recall: 71.940, F1: 71.847, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 6, Accuracy: 74.270, Precision: 75.496, Recall: 74.270, F1: 73.753, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 7, Accuracy: 77.170, Precision: 77.045, Recall: 77.170, F1: 76.850, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 8, Accuracy: 76.650, Precision: 77.399, Recall: 76.650, F1: 76.361, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 9, Accuracy: 75.750, Precision: 78.400, Recall: 75.750, F1: 75.504, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 10, Accuracy: 78.400, Precision: 78.897, Recall: 78.400, F1: 78.203, L_1: 24226, U_1: 25774, L_2: 24652, U_2: 25348
Test Epoch: 11, Accuracy: 78.820, Precision: 79.077, Recall: 78.820, F1: 78.728, L_1: 25557, U_1: 24443, L_2: 24645, U_2: 25355
Test Epoch: 12, Accuracy: 78.930, Precision: 79.353, Recall: 78.930, F1: 78.775, L_1: 24655, U_1: 25345, L_2: 24377, U_2: 25623
Test Epoch: 13, Accuracy: 79.200, Precision: 79.453, Recall: 79.200, F1: 79.066, L_1: 23642, U_1: 26358, L_2: 23834, U_2: 26166
Test Epoch: 14, Accuracy: 79.710, Precision: 79.837, Recall: 79.710, F1: 79.547, L_1: 23660, U_1: 26340, L_2: 23552, U_2: 26448
Test Epoch: 15, Accuracy: 80.700, Precision: 80.724, Recall: 80.700, F1: 80.495, L_1: 23557, U_1: 26443, L_2: 23737, U_2: 26263
Test Epoch: 16, Accuracy: 80.930, Precision: 80.808, Recall: 80.930, F1: 80.680, L_1: 23364, U_1: 26636, L_2: 23460, U_2: 26540
Test Epoch: 17, Accuracy: 81.720, Precision: 81.614, Recall: 81.720, F1: 81.584, L_1: 23314, U_1: 26686, L_2: 23228, U_2: 26772
Test Epoch: 18, Accuracy: 81.280, Precision: 81.799, Recall: 81.280, F1: 81.049, L_1: 23498, U_1: 26502, L_2: 23436, U_2: 26564
Test Epoch: 19, Accuracy: 82.120, Precision: 82.422, Recall: 82.120, F1: 81.809, L_1: 23322, U_1: 26678, L_2: 23680, U_2: 26320
Test Epoch: 20, Accuracy: 83.260, Precision: 83.578, Recall: 83.260, F1: 83.027, L_1: 23408, U_1: 26592, L_2: 23574, U_2: 26426
Test Epoch: 21, Accuracy: 83.840, Precision: 84.103, Recall: 83.840, F1: 83.647, L_1: 23893, U_1: 26107, L_2: 23637, U_2: 26363
Test Epoch: 22, Accuracy: 84.480, Precision: 84.796, Recall: 84.480, F1: 84.410, L_1: 23978, U_1: 26022, L_2: 23835, U_2: 26165
Test Epoch: 23, Accuracy: 85.590, Precision: 85.736, Recall: 85.590, F1: 85.474, L_1: 24247, U_1: 25753, L_2: 23942, U_2: 26058
Test Epoch: 24, Accuracy: 86.210, Precision: 86.285, Recall: 86.210, F1: 86.026, L_1: 24422, U_1: 25578, L_2: 24189, U_2: 25811
Test Epoch: 25, Accuracy: 86.910, Precision: 86.944, Recall: 86.910, F1: 86.845, L_1: 24501, U_1: 25499, L_2: 24382, U_2: 25618
Test Epoch: 26, Accuracy: 86.900, Precision: 86.937, Recall: 86.900, F1: 86.682, L_1: 24615, U_1: 25385, L_2: 24662, U_2: 25338
Test Epoch: 27, Accuracy: 88.150, Precision: 88.236, Recall: 88.150, F1: 88.022, L_1: 24553, U_1: 25447, L_2: 24376, U_2: 25624
Test Epoch: 28, Accuracy: 88.570, Precision: 88.567, Recall: 88.570, F1: 88.454, L_1: 24743, U_1: 25257, L_2: 24773, U_2: 25227
Test Epoch: 29, Accuracy: 89.080, Precision: 88.996, Recall: 89.080, F1: 88.985, L_1: 24788, U_1: 25212, L_2: 24762, U_2: 25238
Test Epoch: 30, Accuracy: 89.370, Precision: 89.312, Recall: 89.370, F1: 89.257, L_1: 25117, U_1: 24883, L_2: 25081, U_2: 24919
Test Epoch: 31, Accuracy: 89.810, Precision: 89.717, Recall: 89.810, F1: 89.662, L_1: 25179, U_1: 24821, L_2: 24957, U_2: 25043
Test Epoch: 32, Accuracy: 89.740, Precision: 89.728, Recall: 89.740, F1: 89.583, L_1: 25136, U_1: 24864, L_2: 25140, U_2: 24860
Test Epoch: 33, Accuracy: 89.540, Precision: 89.766, Recall: 89.540, F1: 89.348, L_1: 25119, U_1: 24881, L_2: 25128, U_2: 24872
Test Epoch: 34, Accuracy: 89.980, Precision: 90.007, Recall: 89.980, F1: 89.806, L_1: 25171, U_1: 24829, L_2: 25104, U_2: 24896
Test Epoch: 35, Accuracy: 90.430, Precision: 90.397, Recall: 90.430, F1: 90.337, L_1: 25294, U_1: 24706, L_2: 25215, U_2: 24785
Test Epoch: 36, Accuracy: 90.920, Precision: 90.908, Recall: 90.920, F1: 90.825, L_1: 25321, U_1: 24679, L_2: 25572, U_2: 24428
Test Epoch: 37, Accuracy: 91.060, Precision: 90.979, Recall: 91.060, F1: 90.956, L_1: 25369, U_1: 24631, L_2: 25434, U_2: 24566
Test Epoch: 38, Accuracy: 91.410, Precision: 91.389, Recall: 91.410, F1: 91.351, L_1: 25593, U_1: 24407, L_2: 25380, U_2: 24620
Test Epoch: 39, Accuracy: 91.420, Precision: 91.538, Recall: 91.420, F1: 91.347, L_1: 25516, U_1: 24484, L_2: 25561, U_2: 24439
