Test Epoch: 41, Accuracy: 67.100, Precision: 67.071, Recall: 67.100, F1: 66.400, L_1: 31389, U_1: 18611, L_2: 30617, U_2: 19383
Test Epoch: 42, Accuracy: 67.180, Precision: 67.435, Recall: 67.180, F1: 66.600, L_1: 30454, U_1: 19546, L_2: 30727, U_2: 19273
Test Epoch: 43, Accuracy: 67.610, Precision: 68.122, Recall: 67.610, F1: 67.189, L_1: 30216, U_1: 19784, L_2: 30366, U_2: 19634
Test Epoch: 44, Accuracy: 66.800, Precision: 66.834, Recall: 66.800, F1: 66.099, L_1: 30393, U_1: 19607, L_2: 30313, U_2: 19687
Test Epoch: 45, Accuracy: 67.400, Precision: 67.495, Recall: 67.400, F1: 66.756, L_1: 30168, U_1: 19832, L_2: 30191, U_2: 19809
Test Epoch: 46, Accuracy: 67.380, Precision: 67.757, Recall: 67.380, F1: 66.790, L_1: 30117, U_1: 19883, L_2: 29866, U_2: 20134
Test Epoch: 47, Accuracy: 67.960, Precision: 68.040, Recall: 67.960, F1: 67.352, L_1: 29918, U_1: 20082, L_2: 30133, U_2: 19867
Test Epoch: 48, Accuracy: 67.440, Precision: 67.582, Recall: 67.440, F1: 66.754, L_1: 30119, U_1: 19881, L_2: 29934, U_2: 20066
Test Epoch: 49, Accuracy: 67.870, Precision: 68.220, Recall: 67.870, F1: 67.472, L_1: 30107, U_1: 19893, L_2: 29827, U_2: 20173
Test Epoch: 50, Accuracy: 67.810, Precision: 68.242, Recall: 67.810, F1: 67.317, L_1: 30325, U_1: 19675, L_2: 30228, U_2: 19772
Test Epoch: 51, Accuracy: 67.780, Precision: 68.108, Recall: 67.780, F1: 67.257, L_1: 29911, U_1: 20089, L_2: 30113, U_2: 19887
Test Epoch: 52, Accuracy: 68.480, Precision: 68.642, Recall: 68.480, F1: 67.983, L_1: 29951, U_1: 20049, L_2: 29677, U_2: 20323
Test Epoch: 53, Accuracy: 68.410, Precision: 68.456, Recall: 68.410, F1: 67.898, L_1: 29680, U_1: 20320, L_2: 29717, U_2: 20283
Test Epoch: 54, Accuracy: 68.020, Precision: 68.349, Recall: 68.020, F1: 67.453, L_1: 29646, U_1: 20354, L_2: 30066, U_2: 19934
Test Epoch: 55, Accuracy: 68.690, Precision: 68.885, Recall: 68.690, F1: 68.026, L_1: 29826, U_1: 20174, L_2: 29603, U_2: 20397
Test Epoch: 56, Accuracy: 68.540, Precision: 68.838, Recall: 68.540, F1: 67.945, L_1: 29948, U_1: 20052, L_2: 29563, U_2: 20437
Test Epoch: 57, Accuracy: 68.530, Precision: 68.985, Recall: 68.530, F1: 68.119, L_1: 29893, U_1: 20107, L_2: 29799, U_2: 20201
Test Epoch: 58, Accuracy: 68.650, Precision: 68.762, Recall: 68.650, F1: 68.090, L_1: 29790, U_1: 20210, L_2: 29752, U_2: 20248
Test Epoch: 59, Accuracy: 68.370, Precision: 68.782, Recall: 68.370, F1: 67.966, L_1: 29859, U_1: 20141, L_2: 29779, U_2: 20221
Test Epoch: 60, Accuracy: 68.520, Precision: 68.697, Recall: 68.520, F1: 68.038, L_1: 29722, U_1: 20278, L_2: 29809, U_2: 20191
Test Epoch: 61, Accuracy: 68.260, Precision: 68.615, Recall: 68.260, F1: 67.671, L_1: 29851, U_1: 20149, L_2: 29769, U_2: 20231
Test Epoch: 62, Accuracy: 68.840, Precision: 68.831, Recall: 68.840, F1: 68.216, L_1: 29731, U_1: 20269, L_2: 29540, U_2: 20460
Test Epoch: 63, Accuracy: 69.110, Precision: 69.299, Recall: 69.110, F1: 68.558, L_1: 29883, U_1: 20117, L_2: 29696, U_2: 20304
Test Epoch: 64, Accuracy: 68.530, Precision: 68.861, Recall: 68.530, F1: 68.049, L_1: 29969, U_1: 20031, L_2: 29696, U_2: 20304
Test Epoch: 65, Accuracy: 69.180, Precision: 69.374, Recall: 69.180, F1: 68.640, L_1: 30083, U_1: 19917, L_2: 29578, U_2: 20422
Test Epoch: 66, Accuracy: 68.760, Precision: 68.983, Recall: 68.760, F1: 68.218, L_1: 29565, U_1: 20435, L_2: 30133, U_2: 19867
Test Epoch: 67, Accuracy: 68.960, Precision: 69.317, Recall: 68.960, F1: 68.413, L_1: 29666, U_1: 20334, L_2: 29828, U_2: 20172
Test Epoch: 68, Accuracy: 69.050, Precision: 69.386, Recall: 69.050, F1: 68.586, L_1: 29998, U_1: 20002, L_2: 29701, U_2: 20299
Test Epoch: 69, Accuracy: 69.040, Precision: 69.296, Recall: 69.040, F1: 68.617, L_1: 29757, U_1: 20243, L_2: 29627, U_2: 20373
Test Epoch: 70, Accuracy: 68.900, Precision: 69.240, Recall: 68.900, F1: 68.423, L_1: 29866, U_1: 20134, L_2: 30287, U_2: 19713
Test Epoch: 71, Accuracy: 68.470, Precision: 68.901, Recall: 68.470, F1: 68.102, L_1: 30056, U_1: 19944, L_2: 30095, U_2: 19905
Test Epoch: 72, Accuracy: 69.220, Precision: 69.542, Recall: 69.220, F1: 68.718, L_1: 29828, U_1: 20172, L_2: 29744, U_2: 20256
